Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites
Usagi Drop,Bunny Drop,8.34,449,227,498,TV,11,Finished Airing,"Jul 8, 2011 to Sep 16, 2011",Summer 2011,Fridays at 00:45 (JST),"Dentsu,       Fuji TV,       TOHO,       Tohokushinsha Film Corporation,       Sony Music Entertainment,       Sakura Create,       Fujipacific Music,       Shodensha","NIS America, Inc.",Production I.G,Manga,Slice of Life,"Childcare, Iyashikei",Josei,22 min. per ep.,PG-13 - Teens 13 or older,"5,969"
IDOLiSH7 Third Beat! Part 2,,8.34,5560,231,14,TV,17,Finished Airing,"Oct 2, 2022 to Feb 26, 2023",Fall 2022,Sundays at 22:30 (JST),"None found, add some","None found, add some",TROYCA,Game,Drama,"Idols (Male), Music",,24 min. per ep.,PG-13 - Teens 13 or older,236
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou","Violet Evergarden: The Day You Understand ""I Love You"" Will Surely Come",8.34,714,228,334,Special,1,Finished Airing,"Jul 4, 2018",,,"Lantis,       Pony Canyon,       Rakuonsha,       ABC Animation","None found, add some",Kyoto Animation,Light novel,"Drama, Fantasy",,,34 min.,PG-13 - Teens 13 or older,904
Tunshi Xingkong 3rd Season,Swallowed Star 3rd Season,8.34,11289,226,2,ONA,33,Finished Airing,"Sep 14, 2022 to Apr 26, 2023",,,"Tencent Animation & Comics,       Tencent Penguin Pictures","None found, add some",Sparkly Key Animation Studio,Novel,"Action, Adventure, Fantasy, Sci-Fi",Martial Arts,,21 min. per ep.,PG-13 - Teens 13 or older,25
Bakuman. 2nd Season,Bakuman. Season 2,8.34,671,229,355,TV,25,Finished Airing,"Oct 1, 2011 to Mar 24, 2012",Fall 2011,Saturdays at 17:30 (JST),"NHK,       Shueisha",Media Blasters,J.C.Staff,Manga,"Comedy, Drama, Romance",Otaku Culture,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"1,382"
Dr. Stone: New World Part 2,,8.34,891,230,275,TV,11,Finished Airing,"Oct 12, 2023 to Dec 21, 2023",Fall 2023,Thursdays at 22:30 (JST),"TOHO animation,       Shueisha","None found, add some",TMS Entertainment,Manga,"Adventure, Comedy, Sci-Fi",,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"1,324"
Girls & Panzer: Saishuushou Part 4,Girls und Panzer das Finale – Part 4,8.33,5222,232,16,Movie,1,Finished Airing,"Oct 6, 2023",,,"Bandai Visual,       Lantis,       Movic,       Q-Tec,       Hakuhodo DY Music & Pictures",Sentai Filmworks,Actas,Original,,"CGDCT, Military, School",,54 min.,PG-13 - Teens 13 or older,77
Kidou Senshi Gundam: The Origin,Mobile Suit Gundam: The Origin,8.33,2513,233,74,OVA,6,Finished Airing,"Feb 28, 2015 to May 5, 2018",,,Sotsu,"Nozomi Entertainment,       NYAV Post",Sunrise,Manga,"Action, Sci-Fi","Mecha, Military, Space",Shounen,1 hr. 11 min. per ep.,R+ - Mild Nudity,887
One Outs,,8.33,1015,236,240,TV,25,Finished Airing,"Oct 8, 2008 to Apr 1, 2009",Fall 2008,Unknown,"VAP,       Nippon Television Network,       D.N. Dream Partners","None found, add some",Madhouse,Manga,"Sports, Suspense","Adult Cast, Psychological, Team Sports",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,"4,084"
Kiseijuu: Sei no Kakuritsu,Parasyte: The Maxim,8.33,42,234,1,TV,24,Finished Airing,"Oct 9, 2014 to Mar 26, 2015",Fall 2014,Thursdays at 01:29 (JST),"VAP,       Nippon Television Network,       Forecast Communications",Sentai Filmworks,Madhouse,Manga,"Action, Horror, Sci-Fi, Suspense","Gore, Psychological",Seinen,23 min. per ep.,R - 17+ (violence & profanity),"34,911"
Natsume Yuujinchou: Itsuka Yuki no Hi ni,Natsume’s Book of Friends: On a Certain Snowy Day,8.33,2398,235,80,OVA,1,Finished Airing,"Feb 5, 2014",,,"Aniplex,       Nihon Ad Systems","None found, add some",Brain's Base,Manga,"Slice of Life, Supernatural","Iyashikei, Mythology",Shoujo,22 min.,PG-13 - Teens 13 or older,109
