Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration,Rating,Favorites,Premiered,Broadcast
Gintama: The Final,Gintama: The Very Final,9.04,1533,6,152,Movie,1,Finished Airing,"Jan 8, 2021","TV Tokyo,       Aniplex,       Dentsu,       Bandai,       Warner Bros. Japan,       Shueisha",Eleven Arts,Bandai Namco Pictures,Manga,"Action, Comedy, Drama, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen,1 hr. 44 min.,PG-13 - Teens 13 or older,"4,292",,
Shingeki no Kyojin Season 3 Part 2,Attack on Titan Season 3 Part 2,9.05,21,5,2,TV,10,Finished Airing,"Apr 29, 2019 to Jul 1, 2019","Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Techno Sound,       Pony Canyon Enterprises",Funimation,Wit Studio,Manga,"Action, Drama, Suspense","Gore, Military, Survival",Shounen,23 min. per ep.,R - 17+ (violence & profanity),"58,887",Spring 2019,Mondays at 00:10 (JST)
Sousou no Frieren,Frieren: Beyond Journey's End,9.36,252,1,768,TV,28,Finished Airing,"Sep 29, 2023 to Mar 22, 2024","Aniplex,       Dentsu,       Shogakukan-Shueisha Productions,       Nippon Television Network,       TOHO animation,       Shogakukan","None found, add some",Madhouse,Manga,"Adventure, Drama, Fantasy",,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"44,175",Fall 2023,Fridays at 23:00 (JST)
Steins;Gate,,9.07,13,3,2,TV,24,Finished Airing,"Apr 6, 2011 to Sep 14, 2011","Frontier Works,       Media Factory,       Kadokawa Shoten,       Movic,       AT-X,       Kadokawa Pictures Japan,       Nitroplus",Funimation,White Fox,Visual novel,"Drama, Sci-Fi, Suspense","Psychological, Time Travel",,24 min. per ep.,PG-13 - Teens 13 or older,"189,888",Spring 2011,Wednesdays at 02:05 (JST)
Gintama°,Gintama Season 4,9.06,342,4,634,TV,51,Finished Airing,"Apr 8, 2015 to Mar 30, 2016","TV Tokyo,       Aniplex,       Dentsu","Funimation,       Crunchyroll",Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"16,695",Spring 2015,Wednesdays at 18:00 (JST)
Fullmetal Alchemist: Brotherhood,,9.09,3,2,3,TV,64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010","Aniplex,       Square Enix,       Mainichi Broadcasting System,       Studio Moriken","Funimation,       Aniplex of America",Bones,Manga,"Action, Adventure, Drama, Fantasy",Military,Shounen,24 min. per ep.,R - 17+ (violence & profanity),"226,441",Spring 2009,Sundays at 17:00 (JST)
Gintama',Gintama Season 2,9.03,393,7,559,TV,51,Finished Airing,"Apr 4, 2011 to Mar 26, 2012","TV Tokyo,       Aniplex,       Dentsu,       Trinity Sound,       Miracle Robo,       Studio Jack,       Shueisha","None found, add some",Sunrise,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"8,163",Spring 2011,Mondays at 18:00 (JST)
Hunter x Hunter (2011),Hunter x Hunter,9.03,9,8,2,TV,148,Finished Airing,"Oct 2, 2011 to Sep 24, 2014","VAP,       Nippon Television Network,       Shueisha",VIZ Media,Madhouse,Manga,"Action, Adventure, Fantasy",,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"211,227",Fall 2011,Sundays at 10:55 (JST)
Gintama': Enchousen,Gintama: Enchousen,9.02,739,10,327,TV,13,Finished Airing,"Oct 4, 2012 to Mar 28, 2013","TV Tokyo,       Aniplex,       Dentsu,       Shueisha,       Miracle Bus","None found, add some",Sunrise,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"3,056",Fall 2012,Thursdays at 18:00 (JST)
Bleach: Sennen Kessen-hen,Bleach: Thousand-Year Blood War,9.01,403,11,548,TV,13,Finished Airing,"Oct 11, 2022 to Dec 27, 2022","TV Tokyo,       Aniplex,       Dentsu,       Shueisha",VIZ Media,Pierrot,Manga,"Action, Adventure, Fantasy",,Shounen,24 min. per ep.,R - 17+ (violence & profanity),"20,630",Fall 2022,Tuesdays at 00:00 (JST)
