Name,English_title,Score,Popularity,Rank,Members,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Favorites,Themes
Kimi no Na wa.,Your Name.,8.84,11,28,2,Movie,1,Finished Airing,"Aug 26, 2016",,,"TOHO,       Sound Team Don Juan,       Lawson HMV Entertainment,       Amuse,       JR East Marketing & Communications,       Kadokawa,       voque ting","Funimation,       NYAV Post",CoMix Wave Films,Original,"Award Winning, Drama, Supernatural",,1 hr. 46 min.,PG-13 - Teens 13 or older,"90,695",Romantic Subtext
Jujutsu Kaisen 2nd Season,Jujutsu Kaisen Season 2,8.82,167,29,953,TV,23,Finished Airing,"Jul 6, 2023 to Dec 28, 2023",Summer 2023,Thursdays at 23:56 (JST),"Mainichi Broadcasting System,       TOHO animation,       Shueisha,       dugout,       Sumzap","None found, add some",MAPPA,Manga,"Action, Fantasy",Shounen,23 min. per ep.,R - 17+ (violence & profanity),"21,582","Gore, School"
Kingdom 3rd Season,Kingdom: Season 3,8.82,2032,30,104,TV,26,Finished Airing,"Apr 6, 2020 to Oct 17, 2021",Spring 2020,Mondays at 00:10 (JST),Shueisha,Funimation,"Pierrot,       Studio Signpost",Manga,Action,Seinen,25 min. per ep.,R - 17+ (violence & profanity),"2,154","Historical, Military"
Gintama.: Shirogane no Tamashii-hen,Gintama.: Silver Soul Arc,8.81,1145,31,214,TV,12,Finished Airing,"Jan 8, 2018 to Mar 26, 2018",Winter 2018,Mondays at 01:35 (JST),"TV Tokyo,       Aniplex,       Dentsu,       Shueisha","None found, add some",Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"1,179","Gag Humor, Historical, Parody, Samurai"
Kizumonogatari III: Reiketsu-hen,Kizumonogatari Part 3: Cold-Blooded,8.78,489,34,464,Movie,1,Finished Airing,"Jan 6, 2017",,,"Aniplex,       Kodansha",Aniplex of America,Shaft,Light novel,"Action, Mystery, Supernatural",,1 hr. 23 min.,R - 17+ (violence & profanity),"7,559",Vampire
Vinland Saga Season 2,,8.81,349,32,620,TV,24,Finished Airing,"Jan 10, 2023 to Jun 20, 2023",Winter 2023,Tuesdays at 00:30 (JST),"Dentsu,       Kodansha,       Twin Engine","None found, add some",MAPPA,Manga,"Action, Adventure, Drama",Seinen,25 min. per ep.,R - 17+ (violence & profanity),"14,606","Gore, Historical"
Mob Psycho 100 II,,8.79,72,33,1,TV,13,Finished Airing,"Jan 7, 2019 to Apr 1, 2019",Winter 2019,Mondays at 23:00 (JST),"Warner Bros. Japan,       KlockWorx,       BS Fuji,       Hakuhodo DY Music & Pictures,       Shogakukan",Funimation,Bones,Web manga,"Action, Comedy, Supernatural",,24 min. per ep.,PG-13 - Teens 13 or older,"32,467",Super Power
Bocchi the Rock!,,8.78,380,36,580,TV,12,Finished Airing,"Oct 9, 2022 to Dec 25, 2022",Fall 2022,Sundays at 00:00 (JST),"Aniplex,       Houbunsha",Crunchyroll,CloverWorks,4-koma manga,Comedy,,23 min. per ep.,PG-13 - Teens 13 or older,"28,247","CGDCT, Music"
Shingeki no Kyojin: The Final Season,Attack on Titan: Final Season,8.78,35,35,2,TV,16,Finished Airing,"Dec 7, 2020 to Mar 29, 2021",Winter 2021,Mondays at 00:10 (JST),"Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Techno Sound,       Pony Canyon Enterprises",Funimation,MAPPA,Manga,"Action, Drama, Suspense",Shounen,23 min. per ep.,R - 17+ (violence & profanity),"52,294","Gore, Military, Survival"
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Haikyu!! 3rd Season,8.78,117,37,1,TV,10,Finished Airing,"Oct 8, 2016 to Dec 10, 2016",Fall 2016,Saturdays at 01:55 (JST),"Dentsu,       Mainichi Broadcasting System,       Movic,       Sony Music Entertainment,       TOHO animation,       Shueisha",Sentai Filmworks,Production I.G,Manga,Sports,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"15,544","School, Team Sports"
Hajime no Ippo,Fighting Spirit,8.77,366,38,598,TV,75,Finished Airing,"Oct 4, 2000 to Mar 27, 2002",Fall 2000,Tuesdays at 00:50 (JST),VAP,"Discotek Media,       Geneon Entertainment USA",Madhouse,Manga,Sports,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,"22,286",Combat Sports
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Kaguya-sama: Love is War - The First Kiss That Never Ends,8.77,910,39,269,Movie,1,Finished Airing,"Dec 17, 2022",,,"Aniplex,       Mainichi Broadcasting System,       Shueisha,       JR East Marketing & Communications",Aniplex of America,A-1 Pictures,Manga,"Comedy, Drama, Romance",Seinen,1 hr. 36 min.,PG-13 - Teens 13 or older,"1,902",School
Sen to Chihiro no Kamikakushi,Spirited Away,8.77,44,40,1,Movie,1,Finished Airing,"Jul 20, 2001",,,"Dentsu,       TOHO,       Tokuma Shoten,       Tohokushinsha Film Corporation,       Nippon Television Network,       Mitsubishi","Disney Platform Distribution,       GKIDS",Studio Ghibli,Original,"Adventure, Award Winning, Supernatural",,2 hr. 4 min.,PG - Children,"32,977",Mythology
Monogatari Series: Second Season,,8.76,307,41,672,TV,26,Finished Airing,"Jul 7, 2013 to Dec 29, 2013",Summer 2013,Sundays at 00:00 (JST),"Aniplex,       Kodansha,       Cyclone Graphics",Aniplex of America,Shaft,Light novel,"Comedy, Mystery, Romance, Supernatural",,25 min. per ep.,R - 17+ (violence & profanity),"23,444",Vampire
Shingeki no Kyojin: The Final Season Part 2,Attack on Titan: Final Season Part 2,8.76,102,42,1,TV,12,Finished Airing,"Jan 10, 2022 to Apr 4, 2022",Winter 2022,Mondays at 00:05 (JST),"Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Pony Canyon Enterprises",Funimation,MAPPA,Manga,"Action, Drama, Suspense",Shounen,23 min. per ep.,R - 17+ (violence & profanity),"30,274","Gore, Military, Survival"
The First Slam Dunk,,8.76,3316,43,45,Movie,1,Finished Airing,"Dec 3, 2022",,,Shueisha,GKIDS,"Toei Animation,       DandeLion Animation Studio",Manga,"Award Winning, Sports",Shounen,2 hr. 4 min.,PG-13 - Teens 13 or older,617,"School, Team Sports"
Vinland Saga,,8.75,75,44,1,TV,24,Finished Airing,"Jul 8, 2019 to Dec 30, 2019",Summer 2019,Mondays at 00:10 (JST),"Production I.G,       Dentsu,       Kodansha,       Twin Engine",Sentai Filmworks,Wit Studio,Manga,"Action, Adventure, Drama",Seinen,24 min. per ep.,R - 17+ (violence & profanity),"47,984","Gore, Historical"
Cowboy Bebop,,8.75,43,45,1,TV,26,Finished Airing,"Apr 3, 1998 to Apr 24, 1999",Spring 1998,Saturdays at 01:00 (JST),Bandai Visual,Funimation,Sunrise,Original,"Action, Award Winning, Sci-Fi",,24 min. per ep.,R - 17+ (violence & profanity),"82,682","Adult Cast, Space"
Kimetsu no Yaiba: Yuukaku-hen,Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,8.75,84,46,1,TV,11,Finished Airing,"Dec 5, 2021 to Feb 13, 2022",Winter 2022,Sundays at 23:15 (JST),"Aniplex,       Shueisha","Aniplex of America,       Crunchyroll",ufotable,Manga,"Action, Fantasy",Shounen,26 min. per ep.,R - 17+ (violence & profanity),"24,381",Historical
Kingdom 5th Season,Kingdom: Season 5,8.74,3754,48,35,TV,13,Finished Airing,"Jan 14, 2024 to Mar 31, 2024",Winter 2024,Sundays at 00:00 (JST),"Avex Pictures,       Shueisha,       Jinnan Studio,       NHK Enterprises","None found, add some","Pierrot,       Studio Signpost",Manga,Action,Seinen,24 min. per ep.,R - 17+ (violence & profanity),437,"Historical, Military"
Kingdom 4th Season,Kingdom: Season 4,8.74,2715,47,65,TV,26,Finished Airing,"Apr 10, 2022 to Oct 2, 2022",Spring 2022,Sundays at 00:00 (JST),"Avex Pictures,       Shueisha,       NHK Enterprises","None found, add some","Pierrot,       Studio Signpost",Manga,Action,Seinen,24 min. per ep.,R - 17+ (violence & profanity),"1,055","Historical, Military"
Shiguang Dailiren,Link Click,8.74,637,49,370,ONA,11,Finished Airing,"Apr 30, 2021 to Jul 9, 2021",,,"bilibili,       BeDream",Funimation,LAN Studio,Original,"Drama, Mystery, Supernatural, Suspense",,23 min. per ep.,PG-13 - Teens 13 or older,"11,749","Adult Cast, Time Travel"
Mushishi Zoku Shou 2nd Season,Mushi-shi: Next Passage Part 2,8.73,915,50,268,TV,10,Finished Airing,"Oct 19, 2014 to Dec 21, 2014",Fall 2014,Sundays at 00:30 (JST),"Aniplex,       Kodansha,       Delfi Sound",Aniplex of America,Artland,Manga,"Adventure, Mystery, Slice of Life, Supernatural",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,"1,492","Adult Cast, Historical, Iyashikei"
Ashita no Joe 2,Tomorrow's Joe 2,8.72,3047,52,53,TV,47,Finished Airing,"Oct 13, 1980 to Aug 31, 1981",Fall 1980,Unknown,Annapuru,"None found, add some",Tokyo Movie Shinsha,Manga,"Drama, Sports",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,"2,720",Combat Sports
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Descending Stories: Showa Genroku Rakugo Shinju,8.71,1279,54,188,TV,12,Finished Airing,"Jan 7, 2017 to Mar 25, 2017",Winter 2017,Saturdays at 02:25 (JST),"Mainichi Broadcasting System,       Kodansha,       DAX Production,       King Records","None found, add some",Studio Deen,Manga,Drama,Josei,24 min. per ep.,PG-13 - Teens 13 or older,"3,158","Adult Cast, Historical, Love Polygon, Performing Arts"
86 Part 2,86 Eighty-Six Part 2,8.71,443,53,506,TV,12,Finished Airing,"Oct 3, 2021 to Mar 19, 2022",Fall 2021,Sundays at 00:00 (JST),"Aniplex,       Kadokawa,       Bandai Spirits","None found, add some",A-1 Pictures,Light novel,"Action, Drama, Sci-Fi",,23 min. per ep.,R - 17+ (violence & profanity),"15,165","Mecha, Military"
Mob Psycho 100 III,,8.71,298,55,686,TV,12,Finished Airing,"Oct 6, 2022 to Dec 22, 2022",Fall 2022,Thursdays at 00:00 (JST),"Shogakukan-Shueisha Productions,       Warner Bros. Japan,       KlockWorx,       BS Fuji,       Hakuhodo DY Music & Pictures,       Shogakukan","None found, add some",Bones,Web manga,"Action, Comedy, Supernatural",,23 min. per ep.,PG-13 - Teens 13 or older,"10,388",Super Power
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Samurai X: Trust and Betrayal,8.70,886,56,277,OVA,4,Finished Airing,"Feb 20, 1999 to Sep 22, 1999",,,Aniplex,"ADV Films,       Aniplex of America",Studio Deen,Manga,"Action, Drama, Romance",Shounen,29 min. per ep.,R - 17+ (violence & profanity),"6,276","Adult Cast, Historical, Samurai"
One Piece,,8.72,19,51,2,TV,Unknown,Currently Airing,"Oct 20, 1999 to ?",Fall 1999,Sundays at 09:30 (JST),"Fuji TV,       TAP,       Shueisha","Funimation,       4Kids Entertainment",Toei Animation,Manga,"Action, Adventure, Fantasy",Shounen,24 min.,PG-13 - Teens 13 or older,"222,477",
Code Geass: Hangyaku no Lelouch,Code Geass: Lelouch of the Rebellion,8.70,22,57,2,TV,25,Finished Airing,"Oct 6, 2006 to Jul 29, 2007",Fall 2006,Fridays at 01:25 (JST),"Bandai Visual,       Mainichi Broadcasting System,       Bandai,       Sony Music Entertainment,       Bandai Namco Entertainment,       Hakuhodo DY Media Partners","Funimation,       Bandai Entertainment",Sunrise,Original,"Action, Award Winning, Drama, Sci-Fi",,24 min. per ep.,R - 17+ (violence & profanity),"109,029","Mecha, Military, School, Super Power"
Haikyuu!! Movie: Gomisuteba no Kessen,Haikyu!! Movie: The Dumpster Battle,8.69,1847,60,118,Movie,1,Finished Airing,"Feb 16, 2024",,,"TOHO animation,       Shueisha","None found, add some",Production I.G,Manga,Sports,Shounen,1 hr. 25 min.,PG-13 - Teens 13 or older,"1,025","School, Team Sports"
Great Teacher Onizuka,,8.69,217,59,833,TV,43,Finished Airing,"Jun 30, 1999 to Sep 17, 2000",Summer 1999,Wednesdays at 19:30 (JST),"Aniplex,       Fuji TV","Discotek Media,       Tokyopop",Pierrot,Manga,Comedy,Shounen,25 min. per ep.,R - 17+ (violence & profanity),"26,591","Delinquents, School, Workplace"
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Bleach: Thousand-Year Blood War - The Separation,8.69,890,58,276,TV,13,Finished Airing,"Jul 8, 2023 to Sep 30, 2023",Summer 2023,Saturdays at 23:00 (JST),"TV Tokyo,       Aniplex,       Dentsu,       Shueisha,       Zack Promotion",VIZ Media,Pierrot,Manga,"Action, Adventure, Fantasy",Shounen,24 min. per ep.,R - 17+ (violence & profanity),"4,183",
Mo Dao Zu Shi: Wanjie Pian,The Founder of Diabolism Season 3,8.69,2389,61,81,ONA,12,Finished Airing,"Aug 7, 2021 to Oct 16, 2021",,,Tencent Penguin Pictures,"None found, add some",B.CMAY PICTURES,Web novel,"Action, Adventure, Drama, Fantasy, Mystery",,24 min. per ep.,R - 17+ (violence & profanity),"1,618","Historical, Mythology, Reincarnation"
Mushishi Zoku Shou,Mushi-shi: Next Passage Part 1,8.69,806,62,302,TV,10,Finished Airing,"Apr 5, 2014 to Jun 21, 2014",Spring 2014,Saturdays at 00:00 (JST),"Aniplex,       Kodansha,       Delfi Sound",Aniplex of America,Artland,Manga,"Adventure, Mystery, Slice of Life, Supernatural",Seinen,24 min. per ep.,PG-13 - Teens 13 or older,"1,577","Adult Cast, Historical, Iyashikei"
Tian Guan Cifu Er,Heaven Official's Blessing Season 2,8.68,3321,63,45,ONA,12,Finished Airing,"Oct 18, 2023 to Jan 17, 2024",,,bilibili,"None found, add some",Red Dog Culture House,Web novel,"Action, Adventure, Drama, Fantasy",,24 min. per ep.,PG-13 - Teens 13 or older,"1,018","Historical, Mythology"
Violet Evergarden,,8.68,46,64,1,TV,13,Finished Airing,"Jan 11, 2018 to Apr 5, 2018",Winter 2018,Thursdays at 00:00 (JST),"Lantis,       Pony Canyon,       Rakuonsha,       ABC Animation",Funimation,Kyoto Animation,Light novel,"Drama, Fantasy",,24 min. per ep.,PG-13 - Teens 13 or older,"62,076",
